Function,adaptive1,grid1,adaptive75,grid75,adaptive5,grid5,adaptive25,grid25,adaptive01,grid01
f1,102,338,138,512,204,1058,373,2592,1149,7442
f2,330,968,471,1352,690,2048,1544,4050,3860,10082
f3,254,578,324,800,502,1250,982,2450,2514,6050
f4,624,124002,920,152352,1408,168200,3081,215168,8634,$>$500000
f5,1172,7200,1453,9522,2401,14450,5092,28800,13169,72962
