Month,Size,inst,DLog,Inc,MC,DCC,CC,GIB,GIB2
April,small,2,1881.98,3223.025,2098.61,1809.545,1812.05,30.19,172.09
April,medium,1,3600,3600,3600,3600,3600,3600,3600
April,large,6,3600,3600,3178.226667,3355.258333,3600,1511.031667,1504.495
June,small,2,2047.34,1866.69,1962.72,1813.49,1706.77,1805.9,1807.29
June,medium,1,260.48,63.29,866.26,151.69,179.27,8.16,6.89
June,large,6,2455.391667,2455.39,2450.195,1186.265,1523.938333,274.4016667,70.03833333
December,small,2,1938.895,3600,1825.355,1809.425,1808.64,1804.49,1808.095
December,medium,1,3600,3600,3600,3600,3600,445.17,442.91
December,large,6,3600,3459.924,3600,3209.285,3561.891667,1181.386667,781.0183333 
