Month,ID,Dlog,Inc,MC,DCC,CC,GIB
April,a05,3600,550.22,132.09,59.62,25.88,7.66
April,a04,1106.94,3600,412.34,22.7,57.12,9.44
April,a03,521.93,190.37,1256.79,60.49,176.8,16.33
April,a02,3600,3600,253.99,96.82,57.19,8.49
April,a01,1951.69,3600,1248.7,386.4,498.32,12.62
April,a005,3600,3600,3600,1892.07,2462.73,35.72
June,a05,23.26,5.67,38.05,7.67,6.97,2.97
June,a04,92.09,2.93,41.84,12.01,8.13,1.19
June,a03,207.57,14.89,66.5,17.8,12.23,2.12
June,a02,3600,9.34,109.03,107.11,22.21,2.5
June,a01,21.75,64.19,263.66,98.71,41.51,12.5
June,a005,251.78,277.03,285.15,264.14,56.9,19.7
December,a05,62.04,81.2,69.45,6.53,5.65,3.68
December,a04,19.8,22.94,32.9,5.4,3.24,2.39
December,a03,30.08,24.82,16.56,5.84,3.27,1.35
December,a02,3600,3600,136.08,37.14,25.56,7.02
December,a01,315.05,364.93,173.39,103.61,36.95,1.63
December,a005,192.99,3600,763.72,252.67,20.69,2.25
