Month,Size,instances,Dlog,Inc,MC,DCC,CC,GIB
April,small,2,3600,3600,3027.655,1810.73,1827.215,34.13
April,medium,1,3600,3600,3600,3600,3600,3600
April,large,6,3600,3600,3600,3600,3600,157.1683333
June,small,2,3317.195,1855.905,2243.92,1811.525,2016.66,1806.315
June,medium,1,841.2,60.34,297.95,95.37,71.65,13.58
June,large,6,2094.458571,1965.85,1350.867143,1173.305714,1089.861429,14.765
December,small,2,1875.53,3600,1828.86,1808.265,1816.735,1584.915
December,medium,1,3600,3600,3600,3600,3600,91.44
December,large,6,3600,3509.661667,3600,3251.416667,3184.771667,1491.113333
