model,threads,xprs_cuts,nperiod,month,size,inst,nodes,simplexiter,runtime,bestobj,bestbound,actobj,rows,cols,binaries,nonzeros,facets,depth_limit,freq,rootscuts,treecuts,cut_cnt,callback_time,rootbestobj,rootbestbound
GIB+Cuts,4,-1,168,June,small,1,0,4761,1.74,62564.4,62567.8,67135.2,5207,5712,2016,35948,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,small,2,3,8745,3.12,71597.9,71597.9,73421.6,5207,5712,2016,36284,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,small,3,48,25675,10.18,66368.1,66370,67840,5207,5712,2016,34772,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,small,4,105,27506,14.56,63763.2,63763.2,66158.1,5879,6048,2352,39644,TRUE,100,5,50,1,3,0.170978,63754.4,63864.1
GIB+Cuts,4,-1,168,June,small,0,138017,3957898,417.29,69252.6,69259.5,71704.6,5207,5712,2016,36788,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,small,6,0,3736,0.54,65591.1,65593.7,69686,5207,5712,2016,34268,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,small,9,1,3691,1.11,61805.8,61805.8,63656.8,5207,5712,2016,36284,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,small,8,1,6630,1.5,70621.3,70626.8,72957.4,4871,5544,1848,34436,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,small,5,0,11756,6.55,60478.7,60483.1,65752.3,4871,5544,1848,35948,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,small,7,1404949,36174457,3600.02,66663.1,66738.3,69139.3,4165,4196,1542,53729,TRUE,100,5,50,1,2296,956.039,66559.2,67268
GIB+Cuts,4,-1,168,June,medium,0,0,6170,1.47,67619.7,67620.3,68845.8,5879,9912,2352,79460,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,medium,4,0,10704,3.27,72090.1,72097.2,73104.2,5879,9912,2352,83828,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,medium,1,5,13547,6.89,69514.3,69520.7,71021.1,6887,10416,2856,87188,TRUE,100,5,50,1,0,0.034727,69514.3,69542.9
GIB+Cuts,4,-1,168,June,medium,3,112,31992,12.11,69847.2,69853.1,71004.9,5543,9744,2184,76940,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,medium,2,549407,12841420,3600.09,71664.9,71760,73212.3,5252,9405,2182,423030,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,medium,9,0,5759,1.05,71472.4,71473.4,71823.4,5879,9912,2352,78116,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,medium,5,4,15367,8.5,66622.4,66622.9,70315.4,5879,9912,2352,82148,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,medium,6,0,16399,8.66,70408.7,70415.1,70467,5543,9744,2184,77108,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,medium,8,130,23514,9.65,67565.1,67569.7,68680.6,5879,9912,2352,83324,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,medium,7,16291,468930,88.13,70447.6,70452.2,71876.2,5879,9912,2352,82148,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,large,1,11,15754,7.06,70804.5,70811.4,70012.3,6215,16296,2520,151700,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,large,4,5,24820,17.63,72674.2,72680.9,73768.4,6551,16464,2688,166316,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,large,0,437,44213,21.04,70605.6,70610.4,71725.9,6215,16296,2520,151868,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,large,2,9,30427,28.44,71714.4,71719.2,71978.6,13775,17304,3528,188156,TRUE,100,5,50,1,13,0.177702,71714.4,71732.1
GIB+Cuts,4,-1,168,June,large,3,13433,399176,80.6,72097.3,72104.1,73670.6,6215,16296,2520,152204,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,large,8,0,6181,3.09,71533.4,71535.7,73269.2,7223,16800,3024,168164,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,June,large,6,60,22157,12.11,68283.7,68284.4,69375.6,7223,16800,3024,166148,TRUE,100,5,50,1,2,0.168549,68283.7,68320.2
GIB+Cuts,4,-1,168,June,large,5,10,20798,15.38,69611.4,69618,69828,7223,16800,3024,169004,TRUE,100,5,50,1,3,0.179825,69611.4,69627.6
GIB+Cuts,4,-1,168,June,large,7,1201,46703,22.86,70733.7,70733.8,72606.7,7223,16800,3024,168668,TRUE,100,5,50,1,0,1.83426,70700.8,71182
GIB+Cuts,4,-1,168,June,large,9,42242,941965,338.35,68599.4,68606.1,70297.5,7223,16800,3024,167660,TRUE,100,5,50,1,55,67.3622,60409.2,68984.4
GIB,4,-1,168,June,small,6,0,3782,0.58,65591.09043,65593.85463,69056.06458,5207,5712,2016,34268,,,,,,,,,
GIB,4,-1,168,June,small,9,1,4461,1.62,61805.77699,61805.7794,62864.3502,5207,5712,2016,36284,,,,,,,,,
GIB,4,-1,168,June,small,1,0,4603,1.52,62562.91517,62567.81919,66522.91588,5207,5712,2016,35948,,,,,,,,,
GIB,4,-1,168,June,small,8,5,6954,1.95,70621.29031,70621.36139,70890.86205,4871,5544,1848,34436,,,,,,,,,
GIB,4,-1,168,June,small,5,0,11497,3.84,60478.72551,60484.15387,63656.13274,4871,5544,1848,35948,,,,,,,,,
GIB,4,-1,168,June,small,2,0,11101,4.35,71597.86398,71598.36586,72629.11728,5207,5712,2016,36284,,,,,,,,,
GIB,4,-1,168,June,small,3,313,36467,10.4,66368.99054,66369.05797,68248.30346,5207,5712,2016,34772,,,,,,,,,
GIB,4,-1,168,June,small,4,26,25199,11.74,63763.18183,63768.31286,65366.25467,5879,6048,2352,39644,,,,,,,,,
GIB,4,-1,168,June,small,0,191531,7354693,691.83,69252.59314,69259.51255,70832.12254,5207,5712,2016,36788,,,,,,,,,
GIB,4,-1,168,June,small,7,1889455,43714402,3600.06,66663.10014,66735.07168,68266.85596,4180,4129,1446,53663,,,,,,,,,
GIB,4,-1,168,June,medium,9,0,5980,0.94,71469.69089,71472.47094,71143.45771,5879,9912,2352,78116,,,,,,,,,
GIB,4,-1,168,June,medium,0,0,6210,2.33,67619.66001,67621.6141,68134.1283,5879,9912,2352,79460,,,,,,,,,
GIB,4,-1,168,June,medium,4,0,9646,3.64,72091.64923,72097.37355,72318.51702,5879,9912,2352,83828,,,,,,,,,
GIB,4,-1,168,June,medium,6,0,15463,6.7,70409.0891,70415.66001,72192.35697,5543,9744,2184,77108,,,,,,,,,
GIB,4,-1,168,June,medium,5,3,14512,7.79,66620.03648,66622.69738,68441.4234,5879,9912,2352,82148,,,,,,,,,
GIB,4,-1,168,June,medium,1,5,16633,8.16,69514.01535,69520.08101,69241.24477,6887,10416,2856,87188,,,,,,,,,
GIB,4,-1,168,June,medium,3,65,22634,8.83,69846.63357,69853.06125,71153.24063,5543,9744,2184,76940,,,,,,,,,
GIB,4,-1,168,June,medium,8,7,20119,11.21,67565.07404,67570.58516,67888.14444,5879,9912,2352,83324,,,,,,,,,
GIB,4,-1,168,June,medium,7,41940,1289667,268.63,70447.53768,70454.56516,71085.15325,5879,9912,2352,82148,,,,,,,,,
GIB,4,-1,168,June,medium,2,725881,15906566,3600.06,71659.57369,71749.32485,72336.83582,5263,9405,2182,315526,,,,,,,,,
GIB,4,-1,168,June,large,8,0,7823,1.57,71531.97787,71537.44866,72500.71667,7223,16800,3024,168164,,,,,,,,,
GIB,4,-1,168,June,large,1,15,18368,7.85,70805.55935,70811.1723,70546.71985,6215,16296,2520,151700,,,,,,,,,
GIB,4,-1,168,June,large,4,7,22243,12.72,72674.19702,72681.34294,72975.93251,6551,16464,2688,166316,,,,,,,,,
GIB,4,-1,168,June,large,6,192,22474,13.16,68283.66699,68289.12029,69776.8221,7223,16800,3024,166148,,,,,,,,,
GIB,4,-1,168,June,large,2,69,24509,17.83,71717.16767,71722.35048,72259.03345,13775,17304,3528,188156,,,,,,,,,
GIB,4,-1,168,June,large,7,1393,52933,21.81,70733.74767,70733.81933,70783.64793,7223,16800,3024,168668,,,,,,,,,
