model,threads,xprs_cuts,nperiod,month,size,inst,nodes,simplexiter,runtime,bestobj,bestbound,actobj,rows,cols,binaries,nonzeros
Inc,4,-1,168,December,large,6_improved,6460,433730,3054.9,177325.9397,177343.2673,177446.1943,67535,66696,22344,350780
Inc,4,-1,168,December,small,7_improved,13164,1482999,3600.6,161686.0963,163933.692,165457.1553,14489,13780,4676,166475
Inc,4,-1,168,December,small,4_improved,16948,687851,3601.1,174297.4243,174414.9906,176690.4064,15617,14781,5038,183503
Inc,4,-1,168,December,medium,1_improved,3598,534780,3601.41,174556.5796,175649.8021,176155.3399,34620,33933,11422,419655
Inc,4,-1,168,December,large,5_improved,2154,414378,3600.42,181638.0196,182133.4371,174961.4033,66963,66256,22207,739077
Inc,4,-1,168,December,large,9_improved,1194,390188,3600.99,177282.2095,177346.5669,177083.0354,65921,65224,21859,468059
Inc,4,-1,168,December,large,2_improved,296,194140,3600.25,178380.4949,180586.5982,172858.2819,67107,66256,22207,801504
Inc,4,-1,168,December,large,7_improved,391,228398,3600.75,174834.6011,176069.4189,175986.9454,65896,65240,21867,511072
Inc,4,-1,168,December,large,8_improved,471,169419,3600.66,176825.1376,177085.341,177525.936,65865,65240,21867,491218
Inc,4,-1,168,April,small,7_improved,14933,1862546,3600.67,31344.81314,32601.66948,31764.3163,14180,13521,4591,152041
Inc,4,-1,168,April,small,4_improved,38259,864698,3600.82,35878.8429,35940.96469,38611.12386,15489,14769,5030,146615
Inc,4,-1,168,April,medium,1_improved,2092,457934,3602.62,37327.26205,38019.6295,37992.28915,34643,33940,11422,405927
Inc,4,-1,168,April,large,6_improved,418,283358,3602.07,39171.22894,39363.3997,39285.1853,66973,66301,22226,637202
Inc,4,-1,168,April,large,2_improved,1181,479792,3602.52,41077.03056,42209.93987,37725.54938,66988,66303,22227,512387
Inc,4,-1,168,April,large,7_improved,361,245913,3603.25,37859.80728,38725.17286,38532.2483,65893,65287,21887,577936
Inc,4,-1,168,April,large,5_improved,875,476144,3602.82,43491.96536,44409.87861,38494.42807,66940,66303,22227,597044
Inc,4,-1,168,April,large,9_improved,384,259063,3603.55,38721.30107,39346.9406,38622.08378,65878,65287,21887,476149
Inc,4,-1,168,April,large,8_improved,779,372057,3603.33,38948.1198,39169.58639,39238.65093,65878,65287,21887,618470
Inc,4,-1,168,June,medium,1_improved,940,82373,60.34,69514.3315,69520.28809,70229.26818,35279,34440,11592,181100
Inc,4,-1,168,June,large,8_improved,0,1709,88.63,71551.73751,71558.83674,72473.4765,66527,65688,22008,345908
Inc,4,-1,168,June,small,4_improved,5616,144593,111.74,63763.18178,63768.26101,65366.25462,16127,15288,5208,80132
Inc,4,-1,168,June,large,2_improved,16,17799,139.07,71719.22127,71724.96447,72250.14417,67535,66696,22344,351284
Inc,4,-1,168,June,large,5_improved,743,281908,763.98,70323.5639,70331.2632,71034.2342,67535,66696,22344,350948
Inc,4,-1,168,June,small,7_improved,238389,9081725,3600.07,66663.1001,66754.7912,68266.85591,7408,7248,2410,88953
Inc,4,-1,168,June,large,6_improved,74894,1954954,3600.26,68283.61467,68317.17736,68745.63287,14757,17818,5835,194317
Inc,4,-1,168,June,large,7_improved,3435,380505,3601.23,70721.37847,71347.51522,71956.02177,49941,53109,17708,692099
Inc,4,-1,168,June,large,9_improved,2012,544421,3601.93,68599.36291,68771.79039,69505.64871,65919,65233,21863,491887
