model,threads,xprs_cuts,nperiod,month,size,inst,nodes,simplexiter,runtime,bestobj,bestbound,actobj,rows,cols,binaries,nonzeros
DCC,4,-1,168,June,large,6_reduced,50380,805864,716.45,68283.66699,68290.49391,69776.8221,24359,88704,22512,377156
DCC,4,-1,168,June,small,7_reduced,404728,14067520,3600.09,66662.03391,66733.90817,68263.17281,5382,15335,3845,179761
DCC,4,-1,168,June,large,7_reduced,116241,5592790,3600.14,70727.4744,70913.16001,71912.2152,16991,63059,15831,691749
DCC,4,-1,168,December,small,4_reduced,0,3854,16.41,174308.6882,174325.0105,176664.5977,7223,20160,5376,85844
DCC,4,-1,168,December,small,7_reduced,104202,4931971,3600.12,161663.8174,163257.6001,165439.7435,6429,18573,4750,273817
DCC,4,-1,168,December,medium,1_reduced,41548,2144594,3600.59,174214.0129,175293.2103,175595.4901,12660,44390,11302,597044
DCC,4,-1,168,December,large,6_reduced,68259,2948392,3600.11,176265.28,177388.4805,176418.4786,23522,87613,22195,645699
DCC,4,-1,168,December,large,5_reduced,33155,1548017,3600.16,176533.7574,176685.6049,177394.3804,23569,88008,22224,728285
DCC,4,-1,168,December,large,2_reduced,61712,2060643,3600.12,173838.4535,175176.1324,174675.7327,23503,87882,22235,923994
DCC,4,-1,168,December,large,7_reduced,18530,1523613,3600.25,173118.5387,175591.6711,173895.1839,23304,86557,21902,817475
DCC,4,-1,168,December,large,8_reduced,65521,1366488,3600.21,176964.8644,177086.5215,177628.0874,23177,86508,21882,805444
DCC,4,-1,168,April,small,4_reduced,1962,63061,21.34,35878.8429,35879.8731,38611.12386,7223,20160,5376,85844
DCC,4,-1,168,April,small,7_reduced,170163,5695773,3600.12,31342.00663,32134.23886,31669.67664,6100,18131,4672,169422
DCC,4,-1,168,April,medium,1_reduced,63219,2697840,3600.3,37453.27584,38096.48241,38188.77733,12705,43657,11118,354987
DCC,4,-1,168,April,large,8_reduced,39626,1663562,3600.13,39154.80136,39211.71959,39459.3096,23270,86466,21922,744441
DCC,4,-1,168,April,large,5_reduced,91003,1154437,3600.12,39102.07662,39114.79223,39432.25989,23699,87979,22258,452376
DCC,4,-1,168,April,large,9_reduced,73522,1755028,3600.09,38875.54363,38981.77333,39356.90004,23242,86066,21831,440228
DCC,4,-1,168,April,large,7_reduced,68210,2881204,3600.25,37475.23221,38624.57108,37937.47723,23383,86120,21841,460544
DCC,4,-1,168,April,large,2_reduced,46629,1996688,3600.1,38938.30387,38981.76876,39174.17188,19156,70853,17835,417335
DCC,4,-1,168,April,large,6_reduced,69695,1767817,3600.08,39242.04634,39344.0265,39356.16228,23347,86614,21947,520418
CC,4,-1,168,June,large,8_reduced,0,13146,13.96,71552.69374,71557.02317,72458.28346,15959,36120,22176,171524
CC,4,-1,168,June,large,8_reduced,0,13146,13.89,71552.69374,71557.02317,72458.28346,15959,36120,22176,171524
CC,4,-1,168,June,large,2_reduced,822,55349,33.61,71716.40312,71722.87232,72248.02552,16127,36624,22512,173876
CC,4,-1,168,June,medium,1_reduced,7202,119266,71.65,69514.3315,69521.19685,68954.35916,9743,19488,11760,92564
CC,4,-1,168,June,large,5_reduced,8565,111026,90.53,69612.52875,69618.7628,69015.94431,16127,36624,22512,173876
CC,4,-1,168,June,large,6_reduced,30712,257794,276.69,68283.66699,68290.49116,68745.66413,16127,36624,22512,173876
CC,4,-1,168,June,small,4_reduced,80589,1484865,433.29,63763.18178,63769.28776,65366.25461,5879,9240,5376,43844
CC,4,-1,168,June,small,7_reduced,1260132,25943611,3600.03,66663.1001,66722.13167,68266.85591,4932,7964,4656,67263
CC,4,-1,168,June,large,7_reduced,102658,6956839,3600.15,70724.93884,71074.83277,70776.58273,18146,34667,21363,671577
CC,4,-1,168,December,small,4_reduced,3183,112424,33.3,174313.7601,174323.6633,176707.9439,5879,9240,5376,43844
CC,4,-1,168,December,large,9_reduced,29405,1444058,1106.61,175875.34,175892.0753,176398.5918,15959,36120,22176,171524
CC,4,-1,168,December,small,7_reduced,313401,12119161,3600.17,161596.6067,163781.6607,165351.7817,5488,8665,5147,93495
CC,4,-1,168,December,medium,1_reduced,170967,11416850,3600.15,172651.9057,175388.4619,174082.6011,9324,18980,11589,235675
CC,4,-1,168,December,large,8_reduced,318862,2373638,3600.18,176972.7786,177031.4737,177635.8074,15581,35747,22140,280302
CC,4,-1,168,December,large,2_reduced,50277,3916162,3600.18,170610.3011,174989.3929,171514.3851,15920,36254,22478,584003
CC,4,-1,168,December,large,6_reduced,200345,1711983,3600.17,177330.8895,177365.3409,177451.8731,16684,36242,22468,367223
CC,4,-1,168,December,large,5_reduced,40590,4681888,3600.5,176516.9631,176670.1498,177305.56,20026,36247,22471,625600
CC,4,-1,168,December,large,7_reduced,41759,5470809,3600.99,140360.9879,175723.3175,141018.1592,16234,35742,22134,524095
CC,4,-1,168,April,small,4_reduced,14358,171123,54.29,35878.8429,35881.72813,38611.12386,5879,9240,5376,43844
CC,4,-1,168,April,small,7_reduced,210968,9891225,3600.14,31398.23025,31873.94737,31822.32088,5507,8679,5155,96007
CC,4,-1,168,April,medium,1_reduced,127752,5647523,3600.3,37515.29735,38008.94039,38241.51512,9397,18975,11587,253649
CC,4,-1,168,April,large,2_reduced,134959,4107779,3600.05,38933.25082,38955.56979,39177.01127,13542,26046,16028,337123
CC,4,-1,168,April,large,8_reduced,76690,4465153,3600.06,39153.98332,39220.49589,39448.34865,15882,35652,22063,389393
CC,4,-1,168,April,large,9_reduced,86685,5564241,3600.1,38882.18496,38943.85096,39363.02011,13186,28867,17770,261824
