model,threads,xprs_cuts,nperiod,month,size,inst,nodes,simplexiter,runtime,bestobj,bestbound,actobj,rows,cols,binaries,nonzeros
Inc,4,-1,168,December,small,8,0,671,8.9,175258.4455,175272.1372,177178.9843,15119,14280,4872,74252
Inc,4,-1,168,December,small,1,10,17714,11.68,173009.6462,173022.2325,176316.5359,15119,14280,4872,74420
Inc,4,-1,168,December,small,6,286,21245,36.78,174529.0397,174539.8545,176208.0097,15119,14280,4872,74588
Inc,4,-1,168,December,small,2,310,78287,69.33,175642.9232,175658.0381,176619.8928,15119,14280,4872,74420
Inc,4,-1,168,December,small,5,651,36173,94.35,165536.584,165552.7832,172470.8558,15119,14280,4872,74084
Inc,4,-1,168,December,small,9,23761,252216,363.03,165579.3384,165595.846,166903.1765,15119,14280,4872,74924
Inc,4,-1,168,December,small,3,11483,420498,556.18,168487.1674,168494.8435,172030.8819,15119,14280,4872,74924
Inc,4,-1,168,December,small,0,51422,3951833,3600.67,168262.8708,170308.2969,173780.5625,13935,13262,4503,243766
Inc,4,-1,168,December,medium,4,2141,158487,601.12,173865.0901,173877.9113,175884.2675,34271,33432,11256,175724
Inc,4,-1,168,December,medium,2,5463,230312,1658.8,176398.0948,176412.1687,177116.9388,34271,33432,11256,175556
Inc,4,-1,168,December,medium,0,5420,376346,2354.38,174720.5729,174733.1272,176425.2714,34271,33432,11256,175556
Inc,4,-1,168,December,medium,8,6358,577024,3601.65,176429.9525,176611.8776,177525.2267,16943,22567,7379,345370
Inc,4,-1,168,December,medium,5,4258,220485,3601.62,174577.0537,175225.0784,175009.0253,29153,32477,10796,352327
Inc,4,-1,168,December,medium,6,3017,410226,3601.92,172301.8156,173417.6884,173223.9507,33676,32925,11086,333651
Inc,4,-1,168,December,medium,7,3400,407497,3601.98,175326.8388,175781.8183,176717.5686,33776,32925,11086,419482
Inc,4,-1,168,December,medium,3,1659,468098,3601.99,173592.6637,174925.1508,175129.02,33652,32925,11086,329089
Inc,4,-1,168,December,medium,9,1256,273144,3602.42,174287.3766,175435.526,175704.9198,33669,32925,11086,529145
Inc,4,-1,168,December,large,1,0,6062,87.73,175533.2056,175544.8705,175863.7836,65519,64680,21672,339692
Inc,4,-1,168,December,large,4,3867,338986,3602.76,176786.8368,176813.0557,177189.0121,33095,43756,14466,419717
Inc,4,-1,168,December,large,6,378,368201,3607.28,177030.3718,177339.4975,177249.8831,65055,64224,21527,679472
Inc,4,-1,168,December,large,0,313,365548,3607.26,175749.5772,175954.1749,176705.3733,64979,64224,21527,685588
Inc,4,-1,168,December,large,3,444,299639,3608.27,176522.2116,177015.1391,177296.501,64928,64210,21520,770649
Inc,4,-1,168,April,small,8,14,14696,22.67,37512.45267,37513.00389,38891.52536,15119,14280,4872,74252
Inc,4,-1,168,April,small,2,3454,88801,58.84,38355.6898,38359.30456,38780.39566,15119,14280,4872,74420
Inc,4,-1,168,April,small,1,3864,126427,58.96,38756.24776,38759.9953,38992.12536,15119,14280,4872,74420
Inc,4,-1,168,April,small,6,4229,107121,65.3,37231.97276,37235.6748,38215.87406,15119,14280,4872,74588
Inc,4,-1,168,April,small,3,856,68276,106.6,37334.96294,37338.64713,38645.36895,15119,14280,4872,74924
Inc,4,-1,168,April,small,5,2922,105567,111.52,35204.38348,35207.32516,36498.65344,15119,14280,4872,74084
Inc,4,-1,168,April,small,9,289402,3208979,2625.81,34032.34762,34035.74837,33183.07323,15119,14280,4872,74924
Inc,4,-1,168,April,small,0,243837,5989419,3600.72,36972.41186,37021.2193,38678.69012,7581,8228,2695,84806
Inc,4,-1,168,April,medium,4,33511,774843,1802.8,38598.89359,38602.74732,38850.33701,34271,33432,11256,175724
Inc,4,-1,168,April,medium,5,5793,353847,3601.28,38347.04642,38509.92144,38643.19583,21624,24310,8064,288025
Inc,4,-1,168,April,medium,8,7330,411414,3601.19,39123.07671,39152.94576,39342.72173,20805,23605,7824,226831
Inc,4,-1,168,April,medium,2,3094,663,3601.21,38424.62504,38627.24107,38923.48438,20876,23328,7722,316087
Inc,4,-1,168,April,medium,3,2625,449081,3601.21,38126.02752,38388.40203,38424.69878,33619,32932,11086,317839
Inc,4,-1,168,April,medium,9,8879,522642,3601.54,38505.78558,38645.64169,38984.2558,21656,24279,8061,251621
Inc,4,-1,168,April,medium,7,3435,241606,3601.5,38723.90721,38902.99304,39101.57349,17429,20213,6674,227858
Inc,4,-1,168,April,medium,0,1714,508495,3601.51,36188.97029,37190.87411,37086.62197,33624,32932,11086,328552
Inc,4,-1,168,April,medium,6,5837,358557,3602.05,38347.99043,38384.37751,38635.07018,33687,32932,11086,308138
Inc,4,-1,168,April,large,1,1318,356290,3605.5,38869.6703,39034.75758,38972.18179,64871,64257,21540,550290
Inc,4,-1,168,April,large,4,641,290475,3606.02,38519.57282,38959.58612,39130.69816,64891,64275,21549,572187
Inc,4,-1,168,April,large,6,610,365078,3606.29,39198.94869,39330.61872,39292.66691,42339,47778,15882,354949
Inc,4,-1,168,April,large,0,919,275815,3606.21,38429.8571,39042.89001,38909.88258,64919,64275,21549,728508
Inc,4,-1,168,April,large,3,247,212565,3606.29,37879.61367,38899.98255,38527.17282,64942,64257,21540,745793
Inc,4,-1,168,June,small,9,0,3634,3.01,61805.77699,61806.02689,61833.19222,15119,14280,4872,74924
Inc,4,-1,168,June,small,6,0,2972,3.03,65590.38934,65593.64787,67902.09647,15119,14280,4872,74588
Inc,4,-1,168,June,small,2,0,14882,10.47,71597.86398,71604.5139,72629.11728,15119,14280,4872,74420
Inc,4,-1,168,June,small,1,0,12621,12.15,62563.9428,62569.9623,66464.35499,15119,14280,4872,74420
Inc,4,-1,168,June,small,5,25,23765,15.61,60478.72551,60483.77402,65121.81926,15119,14280,4872,74084
Inc,4,-1,168,June,small,8,1,19765,16.2,70621.29031,70628.235,72165.77107,15119,14280,4872,74252
Inc,4,-1,168,June,small,3,0,16801,19.02,66368.99057,66374.57382,65942.23664,15119,14280,4872,74924
Inc,4,-1,168,June,small,0,224000,13972624,3600.37,69252.59314,69311.58863,70832.12254,10569,10036,3384,123726
Inc,4,-1,168,June,medium,4,0,6361,17.36,72091.77361,72097.90929,71288.69329,34271,33432,11256,175724
Inc,4,-1,168,June,medium,0,0,19,18.07,67619.66001,67624.61336,68134.1283,34271,33432,11256,175556
Inc,4,-1,168,June,medium,9,0,2030,28.8,71472.22446,71475.20808,71116.34112,34271,33432,11256,174548
Inc,4,-1,168,June,medium,6,0,3908,49.13,70409.76819,70416.43546,71158.01328,34271,33432,11256,175724
Inc,4,-1,168,June,medium,5,2425,101540,84.66,66622.38844,66626.56087,69523.55914,34271,33432,11256,176228
Inc,4,-1,168,June,medium,3,18893,660289,516.55,69848.74418,69855.72814,71151.41161,34271,33432,11256,175724
Inc,4,-1,168,June,medium,2,60296,1741535,2623.52,71669.64083,71676.77449,72326.50159,34271,33432,11256,175556
Inc,4,-1,168,June,medium,8,361832,4882038,3600.57,67565.07404,67589.98829,69163.05346,9361,11130,3619,118516
Inc,4,-1,168,June,medium,7,45637,2201559,3600.66,70443.07224,70768.90631,71083.90239,33669,32926,11086,378821
Inc,4,-1,168,June,large,1,566,48495,102.34,70809.01461,70814.60985,71650.80326,65519,64680,21672,339692
Inc,4,-1,168,June,large,0,12,9545,110.07,70605.61014,70606.76966,71964.59969,65519,64680,21672,340364
Inc,4,-1,168,June,large,4,20133,659997,2192.86,72674.19702,72681.40141,72975.93251,65519,64680,21672,340532
Inc,4,-1,168,June,large,6,22825,958455,3601.29,68261.20277,68332.27128,68631.60951,14406,16938,5549,196404
Inc,4,-1,168,June,large,3,14714,475739,3601.14,72095.69091,72162.91457,72890.97126,26566,30700,10153,269204
