d,inst,T,V,D,H,B,ncolor,nbiclique,dlogrows,dlogcols,dlogbins,incrows,inccols,incbins,mcrows,mccols,mcbins,dccrows,dcccols,dccbins,ccrows,cccols,ccbins,gibrows,gibcols,gibbins
3,d3v11,22,11,17,8,352,6,6,15,98,10,45,87,21,101,88,22,27,110,22,17,33,22,27,23,12
3,d3v11r,30,14,40,0,0,0,7,15,130,10,61,119,29,136,120,30,35,150,30,20,44,30,32,21,7
3,d3v15,46,15,39,21,5515,15,9,17,196,12,93,183,45,201,184,46,51,230,46,21,61,46,37,39,24
3,d3v15r,80,25,187,0,0,0,12,19,334,14,161,319,79,347,320,80,85,400,80,31,105,80,53,37,12
3,d3v20,70,20,95,14,8219,11,10,19,294,14,141,279,69,302,280,70,75,350,70,26,90,70,44,41,21
3,d3v20r,103,29,267,0,0,0,13,19,426,14,207,411,102,443,412,103,108,515,103,35,132,103,59,42,13
3,d3v23,89,23,136,33,30196,21,12,19,370,14,179,355,88,381,356,89,94,445,89,29,112,89,51,56,33
3,d3v23r,141,37,480,0,0,0,15,21,580,16,283,563,140,603,564,141,146,705,141,43,178,141,71,52,15
3,d3v28,119,28,226,37,54024,17,14,19,490,14,239,475,118,506,476,119,124,595,119,34,147,119,60,59,31
3,d3v28r,188,46,793,0,0,0,18,21,768,16,377,751,187,800,752,188,193,940,188,52,234,188,86,64,18
3,d3v33,143,33,347,31,48141,14,14,21,588,16,287,571,142,607,572,143,148,715,143,39,176,143,65,61,28
3,d3v33r,216,52,1050,0,0,0,18,21,880,16,433,863,215,918,864,216,221,1080,216,58,268,216,92,70,18
3,d3v36,167,36,422,44,84775,14,15,21,684,16,335,667,166,706,668,167,172,835,167,42,203,167,70,65,29
3,d3v36r,262,61,1499,0,0,0,18,23,1066,18,525,1047,261,1111,1048,262,267,1310,262,67,323,262,101,79,18
3,d3v40,176,40,559,31,53102,9,16,21,720,16,353,703,175,746,704,176,181,880,176,46,216,176,76,65,25
3,d3v40r,248,58,1340,0,0,0,18,21,1008,16,497,991,247,1052,992,248,253,1240,248,64,306,248,98,76,18
3,d3v48,243,48,832,73,185269,19,18,21,988,16,487,971,242,1022,972,243,248,1215,243,54,291,243,88,85,37
3,d3v48r,415,89,3404,0,0,0,22,23,1678,18,831,1659,414,1751,1660,415,420,2075,415,95,504,415,137,111,22
3,d3v53,269,53,1051,70,215711,16,17,23,1094,18,539,1075,268,1131,1076,269,274,1345,269,59,322,269,91,86,33
3,d3v53r,434,93,3744,0,0,0,22,23,1754,18,869,1735,433,1831,1736,434,439,2170,434,99,527,434,141,115,22
3,d3v60,310,60,1395,84,262131,15,19,23,1258,18,621,1239,309,1302,1240,310,315,1550,310,66,370,310,102,94,34
3,d3v60r,489,105,4859,0,0,0,25,23,1974,18,979,1955,488,2063,1956,489,494,2445,489,111,594,489,159,130,25
3,d3v68,369,68,1836,100,374291,17,21,23,1494,18,739,1475,368,1546,1476,369,374,1845,369,74,437,369,114,106,38
3,d3v68r,617,128,7375,0,0,0,32,25,2488,20,1235,2467,616,2598,2468,617,622,3085,617,134,745,617,196,160,32
3,d3v75,400,75,2295,89,358598,15,20,23,1618,18,801,1599,399,1677,1600,400,405,2000,400,81,475,400,119,110,35
3,d3v75r,609,126,7132,0,0,0,30,25,2456,20,1219,2435,608,2564,2436,609,614,3045,609,132,735,609,190,156,30
